cycle,same_day,conveyor,induct_type,packages,truck_id,trucks,volume,volume_m3,cube,cuft,route_id,dsp,delivery_service_provider,tote_id,totes,tote_count,state,county,city,zip_code,road,address,lon,lat,stop_id,stop_seq
1,true,false,non_conveyor,10,TRK-12,1,3.8,0.11,3.8,3.8,R-MSP-12,Lakes DSP,Lakes DSP,T-1011,1,1,Minnesota,Hennepin,Minneapolis,55407,Portland Ave,"288 Portland Ave, Minneapolis, MN 55407",-93.258718,44.936732,MSP-012,12
1,false,true,conveyor,14,TRK-01,1,5.3,0.15,5.3,5.3,R-MSP-13,Midtown DSP,Midtown DSP,T-1012,1,1,Minnesota,Hennepin,Minneapolis,55407,Cedar Ave S,"304 Cedar Ave S, Minneapolis, MN 55407",-93.247673,44.936405,MSP-013,13
2,false,true,conveyor,8,TRK-02,1,3.6,0.1,3.6,3.6,R-MSP-14,Northeast DSP,Northeast DSP,T-1013,1,1,Minnesota,Hennepin,Minneapolis,55406,Minnehaha Ave,"322 Minnehaha Ave, Minneapolis, MN 55406",-93.230124,44.946802,MSP-014,14
same-day,true,true,conveyor,14,TRK-03,1,5.7,0.16,5.7,5.7,R-MSP-15,Uptown DSP,Uptown DSP,T-1014,1,1,Minnesota,Hennepin,Minneapolis,55414,University Ave SE,"338 University Ave SE, Minneapolis, MN 55414",-93.238131,44.985175,MSP-015,15
1,false,false,non_conveyor,18,TRK-04,1,8.4,0.24,8.4,8.4,R-MSP-16,North Loop DSP,North Loop DSP,T-1015,1,1,Minnesota,Hennepin,Minneapolis,55413,Central Ave NE,"356 Central Ave NE, Minneapolis, MN 55413",-93.24904,45.004052,MSP-016,16
1,false,true,conveyor,18,TRK-05,1,9.0,0.25,9.0,9.0,R-MSP-01,Lakes DSP,Lakes DSP,T-1016,1,1,Minnesota,Hennepin,Minneapolis,55413,Broadway St NE,"372 Broadway St NE, Minneapolis, MN 55413",-93.260257,45.004856,MSP-017,17
1,false,true,conveyor,8,TRK-06,1,2.7,0.08,2.7,2.7,R-MSP-02,Midtown DSP,Midtown DSP,T-1017,1,1,Minnesota,Hennepin,Minneapolis,55401,Washington Ave N,"390 Washington Ave N, Minneapolis, MN 55401",-93.27636,44.987807,MSP-018,18
2,false,true,conveyor,24,TRK-07,1,8.1,0.23,8.1,8.1,R-MSP-03,Northeast DSP,Northeast DSP,T-1018,1,1,Minnesota,Hennepin,Minneapolis,55411,Plymouth Ave N,"406 Plymouth Ave N, Minneapolis, MN 55411",-93.284457,45.001458,MSP-019,19
same-day,true,false,non_conveyor,33,TRK-08,1,10.5,0.29,10.5,10.5,R-MSP-04,Uptown DSP,Uptown DSP,T-1019,1,1,Minnesota,Hennepin,Minneapolis,55411,West Broadway,"424 West Broadway, Minneapolis, MN 55411",-93.288606,45.003108,MSP-020,20
1,false,true,conveyor,20,TRK-09,1,9.6,0.27,9.6,9.6,R-MSP-05,North Loop DSP,North Loop DSP,T-1020,1,1,Minnesota,Hennepin,Minneapolis,55412,Lowry Ave N,"440 Lowry Ave N, Minneapolis, MN 55412",-93.291783,45.01467,MSP-021,21
1,false,true,conveyor,27,TRK-10,1,9.2,0.26,9.2,9.2,R-MSP-06,Lakes DSP,Lakes DSP,T-1021,1,1,Minnesota,Hennepin,Minneapolis,55411,Emerson Ave N,"458 Emerson Ave N, Minneapolis, MN 55411",-93.295073,44.999501,MSP-022,22
1,true,true,conveyor,9,TRK-11,1,4.4,0.12,4.4,4.4,R-MSP-07,Midtown DSP,Midtown DSP,T-1022,1,1,Minnesota,Hennepin,Minneapolis,55411,Penn Ave N,"474 Penn Ave N, Minneapolis, MN 55411",-93.30422,45.000557,MSP-023,23
2,false,false,non_conveyor,14,TRK-12,1,6.9,0.19,6.9,6.9,R-MSP-08,Northeast DSP,Northeast DSP,T-1023,1,1,Minnesota,Hennepin,Minneapolis,55411,W Broadway Ave,"492 W Broadway Ave, Minneapolis, MN 55411",-93.302111,44.998617,MSP-024,24
same-day,true,true,conveyor,28,TRK-01,1,12.3,0.34,12.3,12.3,R-MSP-09,Uptown DSP,Uptown DSP,T-1024,1,1,Minnesota,Hennepin,Minneapolis,55406,Lake St E,"508 Lake St E, Minneapolis, MN 55406",-93.224623,44.945681,MSP-025,25
1,false,true,conveyor,4,TRK-02,1,1.9,0.05,1.9,1.9,R-MSP-10,North Loop DSP,North Loop DSP,T-1025,1,1,Minnesota,Hennepin,Minneapolis,55406,26th St E,"526 26th St E, Minneapolis, MN 55406",-93.247256,44.953908,MSP-026,26
1,false,true,conveyor,21,TRK-03,1,10.2,0.29,10.2,10.2,R-MSP-11,Lakes DSP,Lakes DSP,T-1026,1,1,Minnesota,Hennepin,Minneapolis,55407,36th St E,"542 36th St E, Minneapolis, MN 55407",-93.250284,44.939709,MSP-027,27
1,false,false,non_conveyor,14,TRK-04,1,5.6,0.16,5.6,5.6,R-MSP-12,Midtown DSP,Midtown DSP,T-1027,1,1,Minnesota,Hennepin,Minneapolis,55406,46th St E,"560 46th St E, Minneapolis, MN 55406",-93.248779,44.918261,MSP-028,28
2,false,true,conveyor,20,TRK-05,1,10.8,0.3,10.8,10.8,R-MSP-13,Northeast DSP,Northeast DSP,T-1028,1,1,Minnesota,Hennepin,Minneapolis,55419,50th St W,"576 50th St W, Minneapolis, MN 55419",-93.284369,44.914555,MSP-029,29
same-day,true,true,conveyor,10,TRK-06,1,5.2,0.15,5.2,5.2,R-MSP-14,Uptown DSP,Uptown DSP,T-1029,1,1,Minnesota,Hennepin,Minneapolis,55410,France Ave S,"594 France Ave S, Minneapolis, MN 55410",-93.327404,44.920546,MSP-030,30
1,false,true,conveyor,16,TRK-07,1,5.1,0.14,5.1,5.1,R-MSP-15,North Loop DSP,North Loop DSP,T-1030,1,1,Minnesota,Hennepin,Minneapolis,55410,Xerxes Ave S,"610 Xerxes Ave S, Minneapolis, MN 55410",-93.320812,44.921634,MSP-031,31
1,false,false,non_conveyor,4,TRK-08,1,1.8,0.05,1.8,1.8,R-MSP-16,Lakes DSP,Lakes DSP,T-1031,1,1,Minnesota,Hennepin,Minneapolis,55411,Lyndale Ave N,"628 Lyndale Ave N, Minneapolis, MN 55411",-93.2864,45.001236,MSP-032,32
1,false,true,conveyor,27,TRK-09,1,14.0,0.39,14.0,14.0,R-MSP-01,Midtown DSP,Midtown DSP,T-1032,1,1,Minnesota,Hennepin,Minneapolis,55401,Washington Ave S,"644 Washington Ave S, Minneapolis, MN 55401",-93.266091,44.971471,MSP-033,33
2,true,true,conveyor,7,TRK-10,1,2.4,0.07,2.4,2.4,R-MSP-02,Northeast DSP,Northeast DSP,T-1033,1,1,Minnesota,Hennepin,Minneapolis,55415,6th St S,"662 6th St S, Minneapolis, MN 55415",-93.263847,44.974745,MSP-034,34
same-day,true,true,conveyor,35,TRK-11,1,17.5,0.49,17.5,17.5,R-MSP-03,Uptown DSP,Uptown DSP,T-1034,1,1,Minnesota,Hennepin,Minneapolis,55403,11th St S,"678 11th St S, Minneapolis, MN 55403",-93.276461,44.969673,MSP-035,35
1,false,false,non_conveyor,12,TRK-12,1,3.8,0.11,3.8,3.8,R-MSP-04,North Loop DSP,North Loop DSP,T-1035,1,1,Minnesota,Hennepin,Minneapolis,55414,Hennepin Ave E,"696 Hennepin Ave E, Minneapolis, MN 55414",-93.245676,44.988996,MSP-036,36
1,false,true,conveyor,20,TRK-01,1,8.4,0.24,8.4,8.4,R-MSP-05,Lakes DSP,Lakes DSP,T-1036,1,1,Minnesota,Hennepin,Minneapolis,55414,4th St SE,"712 4th St SE, Minneapolis, MN 55414",-93.235198,44.978899,MSP-037,37
1,false,true,conveyor,16,TRK-02,1,7.6,0.21,7.6,7.6,R-MSP-06,Midtown DSP,Midtown DSP,T-1037,1,1,Minnesota,Hennepin,Minneapolis,55414,Como Ave SE,"730 Como Ave SE, Minneapolis, MN 55414",-93.228947,44.990586,MSP-038,38
2,false,true,conveyor,27,TRK-03,1,10.8,0.3,10.8,10.8,R-MSP-07,Northeast DSP,Northeast DSP,T-1038,1,1,Minnesota,Hennepin,Minneapolis,55413,Central Ave,"746 Central Ave, Minneapolis, MN 55413",-93.247808,44.99653,MSP-039,39
same-day,true,false,non_conveyor,18,TRK-04,1,5.4,0.15,5.4,5.4,R-MSP-08,Uptown DSP,Uptown DSP,T-1039,1,1,Minnesota,Hennepin,Minneapolis,55413,University Ave NE,"764 University Ave NE, Minneapolis, MN 55413",-93.251859,44.997926,MSP-040,40
1,false,true,conveyor,18,TRK-05,1,5.1,0.14,5.1,5.1,R-MSP-09,North Loop DSP,North Loop DSP,T-1040,1,1,Minnesota,Hennepin,Minneapolis,55403,Hennepin Ave,"780 Hennepin Ave, Minneapolis, MN 55403",-93.292332,44.979824,MSP-041,41
1,false,true,conveyor,8,TRK-06,1,4.2,0.12,4.2,4.2,R-MSP-10,Lakes DSP,Lakes DSP,T-1041,1,1,Minnesota,Hennepin,Minneapolis,55402,Nicollet Mall,"798 Nicollet Mall, Minneapolis, MN 55402",-93.271937,44.973853,MSP-042,42
1,false,true,conveyor,19,TRK-07,1,6.7,0.19,6.7,6.7,R-MSP-11,Midtown DSP,Midtown DSP,T-1042,1,1,Minnesota,Hennepin,Minneapolis,55401,1st Ave S,"814 1st Ave S, Minneapolis, MN 55401",-93.263923,44.972625,MSP-043,43
2,false,false,non_conveyor,34,TRK-08,1,11.8,0.33,11.8,11.8,R-MSP-12,Northeast DSP,Northeast DSP,T-1043,1,1,Minnesota,Hennepin,Minneapolis,55401,3rd Ave S,"832 3rd Ave S, Minneapolis, MN 55401",-93.263617,44.975035,MSP-044,44
same-day,true,true,conveyor,10,TRK-09,1,3.1,0.09,3.1,3.1,R-MSP-13,Uptown DSP,Uptown DSP,T-1044,1,1,Minnesota,Hennepin,Minneapolis,55404,Park Ave,"848 Park Ave, Minneapolis, MN 55404",-93.265616,44.968442,MSP-045,45
1,false,true,conveyor,33,TRK-10,1,16.9,0.47,16.9,16.9,R-MSP-14,North Loop DSP,North Loop DSP,T-1045,1,1,Minnesota,Hennepin,Minneapolis,55404,Chicago Ave,"866 Chicago Ave, Minneapolis, MN 55404",-93.263352,44.962041,MSP-046,46
1,false,true,conveyor,10,TRK-11,1,3.0,0.08,3.0,3.0,R-MSP-15,Lakes DSP,Lakes DSP,T-1046,1,1,Minnesota,Hennepin,Minneapolis,55404,Franklin Ave,"882 Franklin Ave, Minneapolis, MN 55404",-93.250567,44.963821,MSP-047,47
1,false,false,non_conveyor,10,TRK-12,1,3.5,0.1,3.5,3.5,R-MSP-16,Midtown DSP,Midtown DSP,T-1047,1,1,Minnesota,Hennepin,Minneapolis,55408,Lake St,"900 Lake St, Minneapolis, MN 55408",-93.245674,44.950204,MSP-048,48
2,false,true,conveyor,31,TRK-01,1,10.2,0.29,10.2,10.2,R-MSP-01,Northeast DSP,Northeast DSP,T-1048,1,1,Minnesota,Hennepin,Minneapolis,55408,Lyndale Ave S,"916 Lyndale Ave S, Minneapolis, MN 55408",-93.290878,44.948292,MSP-049,49
same-day,true,true,conveyor,8,TRK-02,1,3.2,0.09,3.2,3.2,R-MSP-02,Uptown DSP,Uptown DSP,T-1049,1,1,Minnesota,Hennepin,Minneapolis,55409,Bryant Ave S,"934 Bryant Ave S, Minneapolis, MN 55409",-93.290599,44.936747,MSP-050,50
1,false,true,conveyor,7,TRK-03,1,3.2,0.09,3.2,3.2,R-MSP-03,North Loop DSP,North Loop DSP,T-1050,1,1,Minnesota,Hennepin,Minneapolis,55409,Nicollet Ave,"950 Nicollet Ave, Minneapolis, MN 55409",-93.274909,44.935102,MSP-051,51
1,false,false,non_conveyor,9,TRK-04,1,4.8,0.13,4.8,4.8,R-MSP-04,Lakes DSP,Lakes DSP,T-1051,1,1,Minnesota,Hennepin,Minneapolis,55407,Portland Ave,"968 Portland Ave, Minneapolis, MN 55407",-93.262275,44.931689,MSP-052,52
1,false,true,conveyor,35,TRK-05,1,14.3,0.4,14.3,14.3,R-MSP-05,Midtown DSP,Midtown DSP,T-1052,1,1,Minnesota,Hennepin,Minneapolis,55407,Cedar Ave S,"984 Cedar Ave S, Minneapolis, MN 55407",-93.24451,44.932398,MSP-053,53
2,false,true,conveyor,14,TRK-06,1,5.4,0.15,5.4,5.4,R-MSP-06,Northeast DSP,Northeast DSP,T-1053,1,1,Minnesota,Hennepin,Minneapolis,55406,Minnehaha Ave,"1002 Minnehaha Ave, Minneapolis, MN 55406",-93.224883,44.950615,MSP-054,54
same-day,true,true,conveyor,33,TRK-07,1,11.8,0.33,11.8,11.8,R-MSP-07,Uptown DSP,Uptown DSP,T-1054,1,1,Minnesota,Hennepin,Minneapolis,55414,University Ave SE,"1018 University Ave SE, Minneapolis, MN 55414",-93.231618,44.982391,MSP-055,55
1,true,false,non_conveyor,35,TRK-08,1,11.3,0.32,11.3,11.3,R-MSP-08,North Loop DSP,North Loop DSP,T-1055,1,1,Minnesota,Hennepin,Minneapolis,55413,Central Ave NE,"1036 Central Ave NE, Minneapolis, MN 55413",-93.245627,45.002883,MSP-056,56
1,false,true,conveyor,7,TRK-09,1,3.4,0.1,3.4,3.4,R-MSP-09,Lakes DSP,Lakes DSP,T-1056,1,1,Minnesota,Hennepin,Minneapolis,55413,Broadway St NE,"1052 Broadway St NE, Minneapolis, MN 55413",-93.264626,45.006012,MSP-057,57
1,false,true,conveyor,36,TRK-10,1,19.0,0.53,19.0,19.0,R-MSP-10,Midtown DSP,Midtown DSP,T-1057,1,1,Minnesota,Hennepin,Minneapolis,55401,Washington Ave N,"1070 Washington Ave N, Minneapolis, MN 55401",-93.282343,44.988905,MSP-058,58
2,false,true,conveyor,36,TRK-11,1,10.9,0.31,10.9,10.9,R-MSP-11,Northeast DSP,Northeast DSP,T-1058,1,1,Minnesota,Hennepin,Minneapolis,55411,Plymouth Ave N,"1086 Plymouth Ave N, Minneapolis, MN 55411",-93.287751,44.996541,MSP-059,59
same-day,true,false,non_conveyor,19,TRK-12,1,7.4,0.21,7.4,7.4,R-MSP-12,Uptown DSP,Uptown DSP,T-1059,1,1,Minnesota,Hennepin,Minneapolis,55411,West Broadway,"1104 West Broadway, Minneapolis, MN 55411",-93.291113,45.00137,MSP-060,60
1,false,true,conveyor,6,TRK-01,1,2.7,0.08,2.7,2.7,R-MSP-13,North Loop DSP,North Loop DSP,T-1060,1,1,Minnesota,Hennepin,Minneapolis,55412,Lowry Ave N,"1120 Lowry Ave N, Minneapolis, MN 55412",-93.285367,45.013618,MSP-061,61
1,false,true,conveyor,24,TRK-02,1,12.8,0.36,12.8,12.8,R-MSP-14,Lakes DSP,Lakes DSP,T-1061,1,1,Minnesota,Hennepin,Minneapolis,55411,Emerson Ave N,"1138 Emerson Ave N, Minneapolis, MN 55411",-93.295146,44.999502,MSP-062,62
1,false,true,conveyor,19,TRK-03,1,6.7,0.19,6.7,6.7,R-MSP-15,Midtown DSP,Midtown DSP,T-1062,1,1,Minnesota,Hennepin,Minneapolis,55411,Penn Ave N,"1154 Penn Ave N, Minneapolis, MN 55411",-93.310566,45.001797,MSP-063,63
2,false,false,non_conveyor,33,TRK-04,1,12.1,0.34,12.1,12.1,R-MSP-16,Northeast DSP,Northeast DSP,T-1063,1,1,Minnesota,Hennepin,Minneapolis,55411,W Broadway Ave,"1172 W Broadway Ave, Minneapolis, MN 55411",-93.307953,45.001573,MSP-064,64
same-day,true,true,conveyor,33,TRK-05,1,14.8,0.41,14.8,14.8,R-MSP-01,Uptown DSP,Uptown DSP,T-1064,1,1,Minnesota,Hennepin,Minneapolis,55406,Lake St E,"1188 Lake St E, Minneapolis, MN 55406",-93.221985,44.945735,MSP-065,65
1,false,true,conveyor,17,TRK-06,1,7.1,0.2,7.1,7.1,R-MSP-02,North Loop DSP,North Loop DSP,T-1065,1,1,Minnesota,Hennepin,Minneapolis,55406,26th St E,"1206 26th St E, Minneapolis, MN 55406",-93.246496,44.953,MSP-066,66
1,true,true,conveyor,8,TRK-07,1,4.1,0.11,4.1,4.1,R-MSP-03,Lakes DSP,Lakes DSP,T-1066,1,1,Minnesota,Hennepin,Minneapolis,55407,36th St E,"1222 36th St E, Minneapolis, MN 55407",-93.25014,44.936494,MSP-067,67
1,false,false,non_conveyor,23,TRK-08,1,10.2,0.29,10.2,10.2,R-MSP-04,Midtown DSP,Midtown DSP,T-1067,1,1,Minnesota,Hennepin,Minneapolis,55406,46th St E,"1240 46th St E, Minneapolis, MN 55406",-93.248544,44.917446,MSP-068,68
2,false,true,conveyor,4,TRK-09,1,1.8,0.05,1.8,1.8,R-MSP-05,Northeast DSP,Northeast DSP,T-1068,1,1,Minnesota,Hennepin,Minneapolis,55419,50th St W,"1256 50th St W, Minneapolis, MN 55419",-93.284102,44.913224,MSP-069,69
same-day,true,true,conveyor,10,TRK-10,1,5.3,0.15,5.3,5.3,R-MSP-06,Uptown DSP,Uptown DSP,T-1069,1,1,Minnesota,Hennepin,Minneapolis,55410,France Ave S,"1274 France Ave S, Minneapolis, MN 55410",-93.329063,44.923091,MSP-070,70
1,false,true,conveyor,10,TRK-11,1,4.8,0.13,4.8,4.8,R-MSP-07,North Loop DSP,North Loop DSP,T-1070,1,1,Minnesota,Hennepin,Minneapolis,55410,Xerxes Ave S,"1290 Xerxes Ave S, Minneapolis, MN 55410",-93.322126,44.918493,MSP-071,71
1,false,false,non_conveyor,17,TRK-12,1,8.1,0.23,8.1,8.1,R-MSP-08,Lakes DSP,Lakes DSP,T-1071,1,1,Minnesota,Hennepin,Minneapolis,55411,Lyndale Ave N,"1308 Lyndale Ave N, Minneapolis, MN 55411",-93.291256,44.999691,MSP-072,72
1,false,true,conveyor,20,TRK-01,1,8.3,0.23,8.3,8.3,R-MSP-09,Midtown DSP,Midtown DSP,T-1072,1,1,Minnesota,Hennepin,Minneapolis,55401,Washington Ave S,"1324 Washington Ave S, Minneapolis, MN 55401",-93.268371,44.974605,MSP-073,73
2,false,true,conveyor,7,TRK-02,1,2.1,0.06,2.1,2.1,R-MSP-10,Northeast DSP,Northeast DSP,T-1073,1,1,Minnesota,Hennepin,Minneapolis,55415,6th St S,"1342 6th St S, Minneapolis, MN 55415",-93.268491,44.978349,MSP-074,74
same-day,true,true,conveyor,4,TRK-03,1,1.5,0.04,1.5,1.5,R-MSP-11,Uptown DSP,Uptown DSP,T-1074,1,1,Minnesota,Hennepin,Minneapolis,55403,11th St S,"1358 11th St S, Minneapolis, MN 55403",-93.277611,44.97086,MSP-075,75
1,false,false,non_conveyor,14,TRK-04,1,6.7,0.19,6.7,6.7,R-MSP-12,North Loop DSP,North Loop DSP,T-1075,1,1,Minnesota,Hennepin,Minneapolis,55414,Hennepin Ave E,"1376 Hennepin Ave E, Minneapolis, MN 55414",-93.252453,44.991679,MSP-076,76
1,false,true,conveyor,4,TRK-05,1,1.2,0.03,1.2,1.2,R-MSP-13,Lakes DSP,Lakes DSP,T-1076,1,1,Minnesota,Hennepin,Minneapolis,55414,4th St SE,"1392 4th St SE, Minneapolis, MN 55414",-93.234587,44.978166,MSP-077,77
1,true,true,conveyor,13,TRK-06,1,5.6,0.16,5.6,5.6,R-MSP-14,Midtown DSP,Midtown DSP,T-1077,1,1,Minnesota,Hennepin,Minneapolis,55414,Como Ave SE,"1410 Como Ave SE, Minneapolis, MN 55414",-93.22624,44.988946,MSP-078,78
2,false,true,conveyor,13,TRK-07,1,5.1,0.14,5.1,5.1,R-MSP-15,Northeast DSP,Northeast DSP,T-1078,1,1,Minnesota,Hennepin,Minneapolis,55413,Central Ave,"1426 Central Ave, Minneapolis, MN 55413",-93.244323,44.995995,MSP-079,79
same-day,true,false,non_conveyor,6,TRK-08,1,3.1,0.09,3.1,3.1,R-MSP-16,Uptown DSP,Uptown DSP,T-1079,1,1,Minnesota,Hennepin,Minneapolis,55413,University Ave NE,"1444 University Ave NE, Minneapolis, MN 55413",-93.255665,44.999388,MSP-080,80
1,false,true,conveyor,10,TRK-09,1,3.8,0.11,3.8,3.8,R-MSP-01,North Loop DSP,North Loop DSP,T-1080,1,1,Minnesota,Hennepin,Minneapolis,55403,Hennepin Ave,"1460 Hennepin Ave, Minneapolis, MN 55403",-93.290819,44.977997,MSP-081,81
1,false,true,conveyor,13,TRK-10,1,6.9,0.19,6.9,6.9,R-MSP-02,Lakes DSP,Lakes DSP,T-1081,1,1,Minnesota,Hennepin,Minneapolis,55402,Nicollet Mall,"1478 Nicollet Mall, Minneapolis, MN 55402",-93.273121,44.978748,MSP-082,82
1,false,true,conveyor,15,TRK-11,1,7.8,0.22,7.8,7.8,R-MSP-03,Midtown DSP,Midtown DSP,T-1082,1,1,Minnesota,Hennepin,Minneapolis,55401,1st Ave S,"1494 1st Ave S, Minneapolis, MN 55401",-93.268906,44.973175,MSP-083,83
2,false,false,non_conveyor,25,TRK-12,1,12.3,0.34,12.3,12.3,R-MSP-04,Northeast DSP,Northeast DSP,T-1083,1,1,Minnesota,Hennepin,Minneapolis,55401,3rd Ave S,"1512 3rd Ave S, Minneapolis, MN 55401",-93.267302,44.976219,MSP-084,84
same-day,true,true,conveyor,19,TRK-01,1,6.7,0.19,6.7,6.7,R-MSP-05,Uptown DSP,Uptown DSP,T-1084,1,1,Minnesota,Hennepin,Minneapolis,55404,Park Ave,"1528 Park Ave, Minneapolis, MN 55404",-93.266106,44.970019,MSP-085,85
1,false,true,conveyor,6,TRK-02,1,3.1,0.09,3.1,3.1,R-MSP-06,North Loop DSP,North Loop DSP,T-1085,1,1,Minnesota,Hennepin,Minneapolis,55404,Chicago Ave,"1546 Chicago Ave, Minneapolis, MN 55404",-93.260501,44.960149,MSP-086,86
1,false,true,conveyor,33,TRK-03,1,12.4,0.35,12.4,12.4,R-MSP-07,Lakes DSP,Lakes DSP,T-1086,1,1,Minnesota,Hennepin,Minneapolis,55404,Franklin Ave,"1562 Franklin Ave, Minneapolis, MN 55404",-93.249221,44.9648,MSP-087,87
1,false,false,non_conveyor,18,TRK-04,1,5.2,0.15,5.2,5.2,R-MSP-08,Midtown DSP,Midtown DSP,T-1087,1,1,Minnesota,Hennepin,Minneapolis,55408,Lake St,"1580 Lake St, Minneapolis, MN 55408",-93.244936,44.950628,MSP-088,88
2,true,true,conveyor,8,TRK-05,1,4.3,0.12,4.3,4.3,R-MSP-09,Northeast DSP,Northeast DSP,T-1088,1,1,Minnesota,Hennepin,Minneapolis,55408,Lyndale Ave S,"1596 Lyndale Ave S, Minneapolis, MN 55408",-93.290855,44.94757,MSP-089,89
same-day,true,true,conveyor,29,TRK-06,1,13.4,0.38,13.4,13.4,R-MSP-10,Uptown DSP,Uptown DSP,T-1089,1,1,Minnesota,Hennepin,Minneapolis,55409,Bryant Ave S,"1614 Bryant Ave S, Minneapolis, MN 55409",-93.292067,44.935349,MSP-090,90
1,false,true,conveyor,5,TRK-07,1,1.6,0.04,1.6,1.6,R-MSP-11,North Loop DSP,North Loop DSP,T-1090,1,1,Minnesota,Hennepin,Minneapolis,55409,Nicollet Ave,"1630 Nicollet Ave, Minneapolis, MN 55409",-93.275051,44.933787,MSP-091,91
1,false,false,non_conveyor,20,TRK-08,1,5.8,0.16,5.8,5.8,R-MSP-12,Lakes DSP,Lakes DSP,T-1091,1,1,Minnesota,Hennepin,Minneapolis,55407,Portland Ave,"1648 Portland Ave, Minneapolis, MN 55407",-93.258837,44.932671,MSP-092,92
1,false,true,conveyor,24,TRK-09,1,9.5,0.27,9.5,9.5,R-MSP-13,Midtown DSP,Midtown DSP,T-1092,1,1,Minnesota,Hennepin,Minneapolis,55407,Cedar Ave S,"1664 Cedar Ave S, Minneapolis, MN 55407",-93.246527,44.933474,MSP-093,93
2,false,true,conveyor,16,TRK-10,1,5.6,0.16,5.6,5.6,R-MSP-14,Northeast DSP,Northeast DSP,T-1093,1,1,Minnesota,Hennepin,Minneapolis,55406,Minnehaha Ave,"1682 Minnehaha Ave, Minneapolis, MN 55406",-93.223926,44.945894,MSP-094,94
same-day,true,true,conveyor,16,TRK-11,1,6.1,0.17,6.1,6.1,R-MSP-15,Uptown DSP,Uptown DSP,T-1094,1,1,Minnesota,Hennepin,Minneapolis,55414,University Ave SE,"1698 University Ave SE, Minneapolis, MN 55414",-93.23383,44.98081,MSP-095,95
